word	adj.all	adj.pert	adv.all	noun.Tops	noun.act	noun.animal	noun.artifact	noun.attribute	noun.body	noun.cognition	noun.communication	noun.event	noun.feeling	noun.food	noun.group	noun.location	noun.motive	noun.object	noun.person	noun.phenomenon	noun.plant	noun.possession	noun.process	noun.quantity	noun.relation	noun.shape	noun.state	noun.substance	noun.time	verb.body	verb.change	verb.cognition	verb.communication	verb.competition	verb.consumption	verb.contact	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.weather
allow																																1	1								1			
good	1							1																																				
type							1			1	1				1																	1	1											
itself																																												
receive																															1	1			1	1					1	1		
woman																			1																									
low	1		1					1											1								1																	
throughout			1																																									
standard	1						1				1											1		1																				
little	1		1																					1																				
least	1		1							1																																		
free	1														1																					1						1		
size	1							1																			1	1			1	1				1								
thus			1																																									
school							1			1					1														1										1			1		
specially			1																																									
old	1																												1															
upon																																												
particular	1									1	1																																	
effect								1		1	1																1										1					1		
provide																															1		1		1						1			
certain	1																																											
together	1		1																																									
present	1										1											1							1				1								1		1	
always			1																																									
short	1		1				1																																					
third	1		1								1														1																			
describe																																	1											
establish																																1					1					1		
natural	1				1						1								1																									
once			1																																									
month																													1															
rate																						1			1				1			1											1	
six	1																							1																				
hand					1	1	1		1	1	1				1	1			1					1															1					
typically			1																																									
value								1		1												1							1			1												
final	1											1																																
average	1									1															1							1										1	1	
instead																																												
current	1											1								1																								
international	1														1																													
program					1					1	1																						1				1							
character								1		1	1								1								1									1								
increase					1			1				1											1								1													
surface	1						1			1						1		1																					1					
across			1																																									
think										1																					1	1					1							
company															1												1																1	
economic	1	1																																										
significant	1																																											
function					1			1							1										1											1								
go	1				1																								1		1				1				1			1	1	
return					1							1										1											1			1			1		1			
fact										1	1																1																	
study							1			1	1								1													1								1				
below			1																																									
full	1																														1					1								
source							1			1	1												1									1									1			
lose																																		1				1		1	1			
person				1					1		1																																	
research					1																											1	1											
individual	1																		1																									
strong	1																																											
structure							1	1	1	1																					1													
party												1			1				1																							1		
run					1			1				1												1			1		1		1					1	1		1		1	1	1	
open	1									1		1				1															1			1		1				1		1	1	
cause											1	1																									1							
aircraft							1																																					
away	1		1																																									
far	1		1																																									
region										1						1								1																				
need																		1									1								1									
food				1						1				1																														
outside	1		1													1																												
start					1			1				1				1																		1			1		1			1		
material	1						1				1								1									1																
cannot																																												
half	1		1																										1															
head						1	1		1		1				1	1		1	1	1				1			1									1			1			1	1	
market					1										1																										1			
near	1		1																																									
record					1						1											1		1									1							1				
traditional	1																																											
special	1										1			1																														
style						1				1	1										1												1				1							
send																																	1			1			1					
story											1																																	
player																			1																									
top	1						1	1								1													1		1					1			1		1		1	
themselves																																												
model					1		1			1									1																		1			1				
band							1	1			1				1																					1								
help																														1	1											1	1	
add																															1	1	1										1	
event				1																1							1																	
network							1								1																		1											
limited	1																																											
nature								1		1								1	1																									
army															1																													
former	1																								1																			
father																			1																									
close	1		1																												1		1			1			1	1		1	1	
view					1			1		1						1																								1				
win												1																						1										
specific	1	1					1																																					
element																1										1	1	1																
practice					1					1																																1		
pressure								1		1										1							1																	
introduce																																1	1				1							
move					1																										1		1	1				1	1		1	1		
whether																																												
religious	1																		1																									
put																																			1	1	1			1				
official	1	1																	1																									
movement					1		1				1	1			1																													
my																																												
student																			1																									
trade					1																																				1		1	
method										1																																		
attack					1																		1				1			1	1		1	1										
problem											1																1																	
art					1		1			1																																		
finally			1																																									
evidence										1	1																																	
refer																																1	1						1				1	
remain																																											1	
influence					1			1		1									1	1																						1		
success					1							1															1																	
bring																															1		1			1	1	1	1					
believe																																1												
enough			1																					1																				
feature							1		1	1	1																																	
young	1					1									1				1																									
white	1						1	1										1	1																									
culture					1					1					1																1													
action					1		1	1			1																1															1		
according	1																																											
condition										1	1																1			1	1											1		
performance					1						1																																	
amount								1																																			1	
black	1						1	1											1																									
business					1					1					1																													
difficult	1																																											
temperature								1		1																																		
education					1			1		1																																		
real	1																					1		1																				
money																						1																						
locate																																									1			
directly			1																																									
sound	1							1		1		1						1		1																				1				
ground							1			1						1																	1			1			1					
therefore			1																																									
get					1																										1	1	1			1		1	1	1	1			
private	1																		1																									
particularly			1																																									
television							1				1																																	
subject	1						1				1								1															1						1				
south	1		1													1									1																			
album							1				1																																	
class								1							1																													
industry					1										1																													
computer							1																																					
community															1							1					1																	
already			1																																									
complete	1																														1		1	1										
associate	1											1							1													1												
relate																																	1									1	1	
physical	1	1																																										
our																																												
town															1	1			1																									
complex	1									1			1															1																
interest								1		1					1							1																1						
rule							1			1	1																		1		1	1	1				1						1	
speed					1			1																					1										1					
living	1	1													1																													
growth															1			1					1				1																	
kill					1																										1					1		1		1		1	1	
court					1		1								1				1																							1		
house					1		1								1																											1	1	
office					1		1								1												1																	
central	1						1																																					
entire	1																																											
fire					1		1				1	1											1					1			1			1					1					
son																			1																									
mostly																																												
access					1		1	1			1																												1		1			
soon			1																																									
today			1																										1															
variety								1							1																													
extra	1		1				1				1																																	
percentage																									1																			
foreign	1																																											
ever			1																																									
future	1	1					1				1																		1															
widely			1																																									
title								1			1																																	
successful	1																																											
radio		1					1				1																						1											
project										1																						1	1			1	1			1				
construction					1					1	1																																	
king							1												1								1																	
mass					1			1			1				1			1																					1					
personal	1	1									1																																	
policy										1	1																																	
code											1																						1			1								
involve																															1	1											1	
idea										1																																		
separate	1						1																													1			1			1	1	
length							1	1																																				
key							1	1		1	1					1		1	1					1							1					1					1			
unit										1					1			1							1																			
likely	1																																											
cost																						1																					1	
church							1								1																								1					
majority								1																1					1															
primary	1				1	1												1																										
perform																																					1					1		
appear																															1						1			1		1		
whole	1			1						1																																		
decide																																1												
report											1	1																					1											
sell					1																												1								1		1	
capital	1						1				1				1	1						1																						
science										1																																		
society															1																													
rest					1		1				1																1			1			1			1						1	1	
stage					1		1				1					1																					1							
whose																																												
recent	1																																											
colour																																												
legal	1	1																																										
highly			1																																									
career					1																																		1					
song					1						1	1										1																						
ofttimes																																												
simple	1																				1																							
define																																	1										1	
Maine																																												
mother										1									1									1														1		
turn					1							1																	1		1			1		1			1		1	1	1	
relationship																									1		1																	
multiple	1									1																																		
nearly																																												
sense										1	1																					1								1				
past	1										1																		1															
relatively			1																																									
software											1																																	
attempt					1																																							
north	1		1													1			1						1																			
quickly			1																																									
product							1			1										1								1																
direct	1																																1				1					1		
site																1																												
previous	1																																											
technology					1																																							
battle					1																													1										
front	1						1			1						1				1							1							1									1	
necessary	1																																											
serve					1																													1	1	1						1	1	
originally			1																																									
approach					1			1				1																					1						1					
image								1		1					1																									1				
seven	1																							1																				
experience										1		1																												1				
text											1																																	
towards																																												
memory							1			1																																		
ability								1		1																																		
commercial	1	1									1																																	
health																											1																	
replace																															1					1								
yet			1																																									
economy					1			1		1					1																													
property							1	1		1												1																						
behind	1		1																																									
noesis																																												
test					1	1																										1	1	1								1	1	
response								1			1									1																								
largely			1																																									
sea																		1		1																								
reach					1																												1			1			1				1	
president																			1																									
wide	1		1																																									
night																											1		1															
operation					1																		1				1																	
act				1							1																			1				1			1					1	1	
train							1					1																		1		1							1			1		
reason										1	1						1															1												
list											1																						1						1			1		
issue					1					1	1											1									1		1									1		
occur																																1											1	
loss					1			1				1										1	1																					
reduce																														1	1					1		1			1	1		
active	1																		1																									
lack																											1																	
clear	1		1																								1				1	1	1						1	1	1	1		
gas																											1	1						1										
island							1											1																										
cell				1			1								1																													
contain																																											1	
exist																																											1	
basis										1															1																			
distance								1					1			1													1														1	
independent	1																																											
intend																																1												
elect	1																															1										1		
adopt																															1										1			
actually			1																																									
wife																			1																									
bear						1													1																	1	1				1		1	
keep							1																										1			1					1		1	
potential	1																										1																	
course					1		1							1	1	1																		1					1					
matter				1				1		1	1																																	
love										1			1											1														1						
object				1						1	1																						1										1	
thing				1	1		1	1		1	1	1	1														1																	
heavy	1		1							1									1																									
oil							1																					1								1								
center	1				1		1		1	1				1	1	1			1																				1					
regular	1							1											1																									
divide																											1					1										1		
eight	1																							1																				
date														1	1				1										1			1										1		
summer																													1														1	
direction										1	1					1									1																			
numerous	1																																											
account								1														1					1						1								1		1	
income																						1																						
construct																																				1	1							
plan							1			1																						1					1							
announce																																	1											
fail																															1							1			1	1		
apply																																	1									1	1	
northern	1										1																																	
propose																																	1											
ship							1																													1			1			1		
estimate					1					1	1																					1												
red	1							1										1																										
married	1																		1																									
medium	1										1					1			1								1	1																
engine							1													1																								
pass					1						1	1						1									1		1										1		1	1		
machine							1								1				1																		1							
quality	1							1		1																	1																	
found	1																					1																						
letter											1								1																		1				1			
expect																														1		1												
treatment					1			1																																				
normal	1																																											
signal	1										1						1			1																								
blood								1	1						1																					1								
fiscal		1																																										
status																											1																	
video											1																																	
carry					1																										1	1	1	1	1	1	1		1		1	1	1	
compare																																1	1										1	
want																																1			1	1							1	
accept																																1	1								1		1	
via																																												
read											1																					1	1				1						1	
fauna															1																													
southern	1																																											
increasing	1																																											
meet												1																						1	1				1			1	1	
prevent																																										1		
application					1						1																																	
marriage					1										1												1																	
equipment							1																																					
section							1				1			1	1	1		1						1																				
ask																																	1											
ten	1																							1																				
activity					1																						1																	
whom																																												
basic	1						1				1																																	
probably			1																																									
edition											1				1																													
location				1			1																																					
note								1			1											1											1							1				
analysis					1					1	1																																	
remove								1																							1								1			1		
paper											1																	1								1								
billion	1																							1																				
fall					1							1																	1		1								1		1	1	1	
cut	1				1		1			1	1			1								1					1			1	1					1	1		1	1		1	1	
operate																															1					1						1		
degree								1		1														1			1																	
novel	1						1				1																																	
completely			1																																									
except																																												
inside	1		1													1																												
troop															1																								1					
flow					1							1											1						1		1								1				1	
metal																																				1								
appointed	1																																											
offer											1																					1	1							1	1		1	
tell																			1													1	1											
frequency																								1	1				1															
initial	1										1																						1											
campaign					1																													1										
discover																																1					1			1				
definition								1			1																																	
historical	1	1																																										
police															1																													
poor	1																																											
weight							1	1					1											1																				
ancient	1																		1																									
here	1		1													1																												
primarily			1																																									
agree																																	1								1		1	
hit					1		1																										1	1	1	1			1	1				
west	1		1													1			1						1																			
heat								1		1		1								1											1										1			
security					1						1		1		1							1					1																	
claim					1			1			1																						1								1			
positive	1						1				1																																	
easily			1																																									
environment																1											1																	
scientific	1	1																																										
ball					1		1		1			1			1				1							1										1								
tradition										1																																		
extend																															1					1					1		1	
charge					1		1				1								1	1		1									1	1	1	1		1	1		1		1			
female	1					1													1																									
face							1	1	1										1																	1			1	1			1	
equal	1																														1												1	
refuse																																	1								1			
immediately			1																																									
supply																							1	1																	1			
effective	1																																											
internal	1																																											
cultural	1	1																																										
principally																																												
negative	1						1				1																																	
soldier						1													1															1										
question											1																						1											
spread	1				1			1			1	1		1																						1			1				1	
suggest																																	1											
difference								1																	1																			
unique	1																																											
fully			1																																									
musical	1	1									1																																	
relation				1	1						1																																	
civil	1	1																																										
cover					1		1																							1			1	1		1				1	1	1	1	
something																																												
board							1							1	1													1							1				1				1	
renowned																																												
hard	1		1																																									
plant				1			1			1									1													1				1					1			
situation																											1																	
worker						1													1																									
shoot					1																1										1	1	1	1		1			1	1		1		1
medical	1	1																																										
risk					1			1																																		1		
device					1		1				1																																	
decision					1					1		1																																
technique										1																																		
week																													1															
previously			1																																									
western	1										1			1																														
phase								1																			1		1		1						1							
responsible	1																																											
purpose										1																						1												
race												1			1																			1					1			1		
article				1							1																						1											
reference					1					1	1																										1							
authority								1			1								1																									
critical	1	1																																										
grow																														1	1						1							
instance																																												
rock					1													1	1									1											1					
share																						1											1								1		1	
nuclear	1	1																																										
vote					1					1					1																											1		
effort					1																																							
table							1								1																						1							
output					1		1																	1													1							
car							1																																					
determine																																1	1											
era																													1															
distribution					1			1		1																																		
represent																																	1				1					1	1	
quite			1																																									
contrast					1			1		1															1							1											1	
try																															1							1				1		
presence					1					1						1			1								1																	
scale						1	1				1							1			1				1						1					1	1		1		1		1	
U																																												
river																		1																										
collection					1						1				1																													
content										1					1										1										1			1						
powerful	1																																											
travel					1																																		1					
prove																																1					1						1	
combine							1																																		1	1		
road					1		1																																					
feel					1					1																				1		1				1		1		1	1		1	
page											1								1														1									1		
tax																						1											1		1						1			
address								1			1					1															1		1	1	1						1	1		
connect																																	1			1						1	1	
pay																																1									1	1	1	
annual	1										1										1																							
despite					1																																							
disease																											1																	
birth												1							1										1															
kind	1									1																																		
agreement								1		1	1														1		1																	
actual	1																																											
price								1			1								1			1										1									1			
goal					1		1			1																																		
management					1										1																													
flight					1		1			1					1																								1			1		
rise					1			1				1																			1			1				1	1				1	
fuel																												1										1			1			
brother																			1																									
maximum																1								1																				
east	1		1													1									1																			
male	1					1										1			1																									
gold	1							1														1						1																
reaction					1					1										1																								
resource								1		1												1																						
latter	1																								1																			
middle	1								1	1																			1							1								
motion					1						1																1																	
observe																																1								1		1		
your																																												
presently			1																																									
station							1	1								1																		1										
appearance					1			1		1		1																																
volume								1			1													1																				
avoid																																	1									1		
consist																																											1	
deal					1							1																1													1	1		
argue																																	1											
room							1								1									1			1																	
scene							1				1	1				1																												
user																			1																									
depend																																											1	
advantage								1																1																		1		
weapon							1				1																																	
target							1				1					1																		1										
prior																			1																									
speech											1																																	
spend																																									1		1	
